dates,open,high,low,close,adjusted close,volume,dividend amount,tickers,id
2019-03-19,72.31,72.44,71.8,72.02,71.7846,2537279,0,IBM,54
2019-03-18,72.1,72.32,71.22,71.88,71.6451,2376890,0,IBM,55
2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860,0,IBM,56
2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521,0,IBM,57
2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930,0,IBM,58
2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793,0,IBM,59
2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171,0,IBM,60
2019-03-08,71.61,72,70.565,71.15,70.9175,3912538,0,IBM,61
2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339,0,IBM,62
2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272,0,IBM,63
2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949,0,IBM,64
2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447,0,IBM,65
2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859,0,IBM,66
2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295,0,IBM,67
2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381,0,IBM,68
2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164,0,IBM,69
2019-02-25,72.93,73,72.14,72.25,72.0139,4105293,0,IBM,70
2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528,0,IBM,71
2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089,0,IBM,72
2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388,0.2,IBM,73
2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742,0,IBM,74
2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181,0,IBM,75
2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249,0,IBM,76
2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419,0,IBM,77
2019-02-12,73.42,73.62,72.875,73.45,73.0079,3404047,0,IBM,78
2019-02-11,73.35,73.87,72.88,72.97,72.5308,3986162,0,IBM,79
2019-02-08,72.46,73.54,72.175,73.16,72.7196,4613228,0,IBM,80
2019-02-07,74.18,74.45,71.42,72.99,72.5506,5880643,0,IBM,81
2019-02-06,70.02,74.69,70.0001,74.5,74.0515,7242131,0,IBM,82
2019-02-05,71.35,71.87,71.11,71.21,70.7814,3978238,0,IBM,83
2019-02-04,70.07,71.509,69.945,71.29,70.8609,3382093,0,IBM,84
2019-02-01,69.95,70.94,69.78,70.14,69.7178,3218566,0,IBM,85
2019-01-31,69.86,70.31,69.41,69.68,69.2606,3504260,0,IBM,86
2019-01-30,68.73,70.1,68.54,69.8,69.3798,3646179,0,IBM,87
2019-01-29,69,69.23,68.38,68.66,68.2467,2902021,0,IBM,88
2019-01-28,69.27,69.38,68.34,68.95,68.535,2771000,0,IBM,89
2019-01-25,70.25,70.32,69.25,70.02,69.5985,4073868,0,IBM,90
2019-01-24,67.12,68.15,66.92,68.12,67.71,3335968,0,IBM,91
2019-01-23,66.96,67.45,66.21,67.06,66.6563,3350206,0,IBM,92
2019-01-22,67.3,67.69,66.27,66.8,66.3979,3698050,0,IBM,93
2019-01-18,67.55,68.03,66.97,67.82,67.4118,3904860,0,IBM,94
2019-01-17,65.49,66.74,65.2,66.55,66.1494,2367809,0,IBM,95
2019-01-16,65.9,66.08,65.45,65.79,65.394,3496857,0,IBM,96
2019-01-15,64.84,66.25,64.65,65.99,65.5928,3551099,0,IBM,97
2019-01-14,64.46,65.02,64.34,64.63,64.241,4407461,0,IBM,98
2019-01-11,64.78,65.19,64.5814,64.92,64.5292,3320566,0,IBM,99
2019-01-10,63.64,64.85,63.5,64.81,64.4199,3313984,0,IBM,100
2019-06-04,61.03,61.54,58.87,59.96,59.96,3733516,0,MCD,1
2019-06-03,61.77,62.1,60.13,60.54,60.54,7304564,0,MCD,2
2019-05-31,61.73,62.33,61.73,61.93,61.93,5698594,0,MCD,3
2019-05-30,61.94,62.9,61.75,62.36,62.36,5059753,0,MCD,4
2019-05-29,61.83,62.17,61.545,61.88,61.88,4540544,0,MCD,5
2019-05-28,62.14,62.66,61.88,62.07,62.07,6931011,0,MCD,6
2019-05-24,61.5,62.19,61.22,61.87,61.87,6435123,0,MCD,7
2019-05-23,60.96,61.7062,60.84,61.08,61.08,9080866,0,MCD,8
2019-05-22,60.61,62.19,60.61,61.5,61.5,9350162,0,MCD,9
2019-05-21,60.18,61.15,60.0205,61,61,9828682,0.2,MCD,10
2019-05-20,58.83,60.115,58.71,59.99,59.794,10899414,0,MCD,11
2019-05-17,58.01,59.5,57.81,59.44,59.2458,8199187,0,MCD,12
2019-05-16,58.46,58.985,58.23,58.64,58.4484,6956521,0,MCD,13
2019-05-15,57.55,58.765,57.43,58.6,58.4085,7812108,0,MCD,14
2019-05-14,57.12,58.3,56.97,57.75,57.5613,7946793,0,MCD,15
2019-05-13,58.02,58.17,56.73,56.88,56.6941,12267713,0,MCD,16
2019-05-10,58.56,59.32,58.28,59.13,58.9368,12089651,0,MCD,17
2019-05-09,58.27,59.275,58.005,59.1,58.9069,9168242,0,MCD,18
2019-05-08,58.48,59.11,58.07,58.98,58.7873,8371150,0,MCD,19
2019-05-07,59,59.1,57.47,58.51,58.3188,10533169,0,MCD,20
2019-05-06,58.56,60.19,58.02,59.6,59.4052,10181715,0,MCD,21
2019-05-03,60.09,61.5,57.7,59.25,59.0564,40551003,0,MCD,22
2019-05-02,72.19,72.97,65,66.61,66.3923,12472507,0,MCD,23
2019-05-01,73.35,73.38,72.15,72.18,71.9441,3151938,0,MCD,24
2019-04-30,72.43,73.05,72.29,72.96,72.7216,3057203,0,MCD,25
2019-04-29,71.15,72.855,71.15,72.4,72.1634,3450920,0,MCD,26
2019-04-26,73.07,73.43,72.64,73.37,73.1302,2216254,0,MCD,27
2019-04-25,72.72,73.11,72.3,72.93,72.6917,2459724,0,MCD,28
2019-04-24,72.98,73.5,72.09,72.67,72.4325,3045795,0,MCD,29
